display_location,avg_predicted_violations,max_predicted_violations,latitude,longitude,risk_level,avg_blocking_severity,congestion_impact_score,officers,tow_trucks
"BTP001 - 10th Cross, Dr. Rajkumar Road",3.1831633288636754,4.88934705348709,13.007779907408109,77.55463999297899,High,1.9135876623376622,59.2,3,1
BTP006 - Navarang Bar Junction,2.1458715654210723,2.495929818291557,12.99110927631579,77.55770017368421,Medium,2.1686842105263158,87.0,2,1
BTP008 - Navarang Theatre,2.8798851067835822,3.752622408973375,12.998479756367226,77.55309288953602,High,1.6570088845014808,19.5,3,1
BTP009 - Prakash Nagar Junction,2.4404611832843375,3.0214714962551774,12.992510784831461,77.5575310719101,Medium,1.7353932584269662,26.6,2,1
BTP010 - Rajajinagar Entrance,1.931096861988967,2.424730816226146,12.982258627150356,77.56000777722677,Medium,1.7194081381011097,25.4,2,1
"BTP011 - RR Kalyana Mantapa, Dr. Rajkumar Road",3.1408601767963593,5.258006975124494,12.993703469187107,77.553774789129,High,2.200879345603272,89.3,3,1
"BTP015 - Suguna Hospital, Dr. Rajkumar Road",1.9175784925643933,2.2518066519583546,12.987776290123456,77.55943995679013,Low,2.0754320987654324,80.5,1,0
"BTP016 - 5th Main Road, RPC Layout",4.517187221001378,5.859832300116052,12.965271313031003,77.53778991937591,High,1.7523523093447906,31.4,3,1
BTP017 - Attiguppe Circle,5.103099500977227,6.50541103949097,12.960580663636362,77.52974374457479,Critical,1.5497360703812317,8.3,5,2
BTP018 - Dhobi Ghat Junction,2.0480629982332856,2.4508533008557642,12.987582663258786,77.5498591942492,Medium,2.0904153354632586,82.2,2,1
BTP020 - Hosahalli Metro Station,5.380430972108903,7.800827663311466,12.974214090656886,77.54529837088647,Critical,1.4545663265306124,3.6,5,2
"BTP022 - Marenahalli Junction, Vijayanagar",2.4136850975075914,3.0165865382425388,12.96876287099882,77.53671935501633,Medium,1.5666239316239317,10.1,2,1
BTP023 - Mahalaxmi Layout Entrance,2.879274205098727,3.985122391513862,13.008970865555847,77.54919375712251,High,1.9454557042702358,67.5,3,1
"BTP024 - NPS, Vijayanagar",2.258440443361653,3.0036227205049704,12.98285641751018,77.54881741390679,Medium,2.006778761061947,75.1,2,1
"BTP025 - Puttamma Choultry, Nagarbhavi",1.2444292012588827,1.444775720378766,12.978654194999999,77.53813890500001,Low,1.9385000000000001,66.3,1,0
"BTP026 - 1st Block Junction, Rajajinagar",4.243829308264582,6.348600020460219,13.002447570419653,77.55009498464688,High,1.9831013306038894,71.6,3,1
BTP027 - Modi Bridge Junction,3.640642760254829,6.018239244534329,12.998890773481468,77.54941276508485,High,1.6076385224274405,14.2,3,1
BTP028 - Vijayanagar Bus Stand Junction,2.3508804633467575,2.8812505466394356,12.972557481866048,77.53810466215123,Medium,1.8220133111480865,42.6,2,1
BTP030 - Mekhri Circle,1.6382750636447807,1.899998787457891,13.012824675714286,77.58383126285715,Low,2.1101428571428573,83.4,1,0
BTP032 - Windsor Circle,4.609248137288115,7.6195860546828165,12.993098903718918,77.58823304418353,Critical,1.5769704975781595,11.8,5,2
"BTP033 - Sophia High School, Sankey Road",1.8947770698640745,2.244639837159286,12.990396026086957,77.58866933540372,Low,1.6108695652173914,16.0,1,0
BTP034 - LRDE Junction,1.8454153012898284,2.1387327612742433,12.988384140474446,77.59182173529831,Low,1.8363541666666665,44.4,1,0
BTP035 - Basaweshwara Circle (LH) Junction,1.180301945369403,1.4553327748821139,12.984568815625,77.5881577625,Low,1.8878125000000001,53.8,1,0
BTP036 - Police Thimmaiah Circle (GPO),1.7128841167169386,2.1202867557351697,12.980939836,77.59428578266666,Low,1.92,60.9,1,0
BTP037 - KR Circle,1.6770511999731412,2.034648519562298,12.976498707614212,77.58648587005077,Low,1.9966497461928936,72.8,1,0
BTP038 - Mysore Bank Junction,2.637021755313745,3.2110279381379163,12.9734831854129,77.58128349849306,High,1.8840807715491261,51.5,3,1
BTP040 - Elite Junction,4.802367566335315,8.819322254486757,12.97661919752797,77.57660675052745,Critical,1.6386478423015451,17.8,5,2
BTP041 - Gopal Gowda Circle,2.673269379434313,4.535000202747944,12.977331819791665,77.59037287222222,High,1.6083680555555557,14.8,3,1
BTP042 - Minsk Square Junction (CTO),4.599636952202935,7.072416280452538,12.981155121389197,77.59844629520397,Critical,1.4551047409040794,4.1,5,2
BTP043 - Upparpet Junction,2.1557125361512375,3.3952493717816425,12.97113811954109,77.57557553212548,Medium,1.8392693110647182,45.0,2,1
BTP044 - Sagar Theatre Junction,4.725846417371483,8.508032838165047,12.974972496140078,77.57889505393308,Critical,1.7763769876325088,34.3,5,2
BTP045 - Danvanthri Road Junction,2.479494422367209,3.242193144310339,12.977075850134357,77.57476438395393,Medium,1.9424030710172744,66.9,2,1
BTP047 - Vidhan Soudha Metro Station,1.918732212297445,2.6659709635410493,12.979841192592591,77.59251356560847,Medium,1.6561375661375661,18.9,2,1
BTP048 - Shanthala Junction,2.547923850021679,3.23210548189952,12.976918728095237,77.57074818349206,Medium,1.814690476190476,40.2,2,1
BTP051 - Safina Plaza Junction,6.172815986829295,14.006246136978334,12.981219695462661,77.60867617618138,Extreme,1.6965000832916874,23.1,8,3
BTP052 - CID Carlton House Junction,1.9079631915934756,2.1259662930073855,12.980890437209254,77.58764691168417,Low,1.9138547486033521,59.8,1,0
BTP053 - Three Let Junction,1.3806397751358632,1.8410120958158336,12.983840382608696,77.58177968913044,Low,2.1395652173913042,84.6,1,0
BTP054 - Shivananda Circle,1.714055860699508,2.1757616127105814,12.986320464460647,77.57889089294382,Low,1.9323867069486405,63.3,1,0
BTP057 - Anand Rao Junction,2.967392250817527,4.609553407971635,12.97939246838768,77.57440532578502,High,2.077826086956522,81.1,3,1
BTP058 - Subbanna Junction,4.378078744696843,9.471001530895661,12.978989202705202,77.57866663408272,High,1.9559482186324408,69.2,3,1
BTP061 - Bhashyam Circle,2.1269912748482223,2.7690569428506464,12.985179307748298,77.55395829537082,Medium,1.7012617924528304,24.3,2,1
"BTP062 - Basava Mantapa, Dr. Rajkumar Road",1.6105340831244805,2.0154241730496465,12.979945215841298,77.55467786687831,Low,1.802857142857143,39.1,1,0
BTP063 - Siddalingaiah Circle,2.158541737685888,2.495417738379431,12.971520372580644,77.59672561989248,Medium,1.793483870967742,37.9,2,1
BTP064 - Devanga Hostel Junction,1.4628592182928506,1.6276608362535008,12.962684163917526,77.58991048556702,Low,1.8861855670103094,53.3,1,0
BTP067 - Jai Muni Rao Circle,1.994134107930983,2.330271093055659,12.978510234647237,77.5427420405344,Medium,1.7622058823529412,32.0,2,1
BTP068 - Veeresh Theatre Junction,2.4055520393740712,3.1062511770104537,12.977203603539824,77.54560192323008,Medium,1.5809513274336284,12.4,2,1
BTP069 - MC Circle,2.5459527766145627,3.195982957699207,12.974678610848434,77.54747380990291,Medium,1.7322193211488253,26.0,2,1
"BTP070 - Cholurpalya Junction, Magadi Road",4.197571959947087,5.586617317471678,12.97348332026816,77.55079849400427,High,1.3838400488400489,0.6,3,1
BTP071 - Prasanna Junction,1.9836566430600187,2.4729340984796853,12.974426295122491,77.55209196904336,Medium,1.5079109589041095,7.7,2,1
BTP074 - Leprosy Hospital Junction,2.0087094150153164,2.4873031007301316,12.975742041398421,77.56168322993689,Medium,1.69854415274463,23.7,2,1
BTP075 - Police Corner,1.6184439855036523,1.897929277007881,12.96872643839462,77.58633180090612,Low,2.0538157894736844,78.7,1,0
BTP076 - Hudson Circle,2.2308433052692456,3.4609562139847814,12.96801804025641,77.58879632538462,Medium,1.6323076923076925,17.2,2,1
BTP077 - Halasuru Gate Junction,1.3035588623731793,1.4444619302319546,12.966897120833332,77.5870293625,Low,1.9345833333333333,64.5,1,0
BTP078 - NR Square Junction,1.8555047044147017,2.165872705862411,12.965887268780488,77.58540834780489,Low,1.896390243902439,55.6,1,0
BTP079 - Town Hall Junction,1.5263093928956681,1.743299299687306,12.9646550104,77.5848116096,Low,1.8711200000000001,49.1,1,0
"BTP080 - NR Road, SP Road Junction",3.1263833731075588,4.09885624284794,12.964382455569687,77.5832034382154,High,1.7506580687830686,30.2,3,1
BTP082 - KR Market Junction,4.6103243206550415,10.522127833815246,12.964437860605603,77.57722211156873,Critical,1.7649353737979525,33.1,5,2
"BTP083 - AS Char Street, Mysore Road",2.6990128886515303,4.452390558238018,12.966453430470342,77.57438613418712,High,2.176748598533851,87.6,3,1
BTP085 - Briyand Circle,1.5355621672925903,2.57830725313388,12.966174915827338,77.56939723597122,Low,2.0553956834532374,79.3,1,0
"BTP089 - Police Quarters, Sultan Road",1.8546090939848636,2.7593059153841257,12.960992125,77.5635322325,Low,2.658375,98.8,1,0
BTP091 - Sirsi Circle,1.7901423275899802,2.517709869211834,12.962153276923077,77.55868955213674,Low,2.1819658119658123,88.8,1,0
BTP092 - Bangalore Builders Junction,1.652957630333894,2.4115813689066044,12.959303213793103,77.55576176436782,Low,2.50183908045977,96.4,1,0
"BTP093 - Toll Gate, Mysore Road",1.8793854971802824,2.587683908769586,12.958521744594595,77.5522204081081,Low,2.0816216216216215,81.7,1,0
"BTP094 - Sri Skanda Complex, Mysore Road",1.6197607168636499,2.2402492236028038,12.955809044827586,77.54618873678162,Low,2.595057471264368,97.0,1,0
"BTP095 - Satellite Bus Stand, Mysore Road",2.1649934683266916,2.805043285634489,12.953803271653324,77.54335001074278,Medium,1.7854780876494023,35.5,2,1
BTP096 - Gali Anjaneya Temple,2.2640908505118897,3.1119058217123596,12.9525929314987,77.54122184349845,Medium,1.8676271186440678,47.9,2,1
BTP098 - Nayandahalli Junction,1.824649390028386,3.268693786438261,12.944968452830189,77.52777250314465,Low,2.650566037735849,98.2,1,0
"BTP099 - Cash Pharmacy, Residency Road",1.9842517454331585,2.29323101523098,12.96925714423077,77.6002740650641,Medium,2.0162500000000003,76.3,2,1
BTP100 - Richmond Circle,2.777144209842356,3.466213190653561,12.962778890780143,77.59828950851063,High,1.389645390070922,1.2,3,1
"BTP101 - Blood Bank Circle, KH Road",4.068072115713672,4.836779052125543,12.961951403783784,77.59620212432432,High,1.4577567567567569,4.7,3,1
"BTP102 - BMTC Junction, KH Road",1.4728162554531377,1.825290133702003,12.95558064,77.59289194142858,Low,1.8995714285714285,57.4,1,0
BTP103 - Shanti Nagar TTMC,1.36438289985396,1.6171463742495504,12.953835349166667,77.59173402500001,Low,2.0044166666666667,74.6,1,0
BTP104 - Medical College Circle,2.4365866161094916,2.89569916380371,12.959587133640168,77.57661472635984,Medium,2.3449958158995816,94.1,2,1
BTP105 - Shivasankara Circle,2.204696150329372,2.575643228284563,12.956886487078652,77.57419385617978,Medium,1.6005617977528093,13.6,2,1
BTP106 - VV Puram College,1.9952990301730418,2.5441074450371564,12.952937235924447,77.57425833553773,Medium,1.8241843971631209,43.2,2,1
BTP107 - National College Junction,1.9412656174679066,2.35969556876275,12.948955050684932,77.57294951506849,Medium,1.4608219178082191,5.3,2,1
BTP108 - Tagore Park Junction,2.2388711583883145,2.706805831880198,12.943920381829178,77.57145562370971,Medium,1.657251958224543,20.1,2,1
BTP109 - Dewan Madhava Rao Junction,2.4199456853154517,2.7664760138383873,12.94087507589928,77.57245704028777,Medium,1.6820863309352518,22.5,2,1
"BTP110 - Bharathi Nursing Home, Basavanagudi",1.2443400120671766,1.345604965768763,12.93742960532226,77.57230527575187,Low,1.9214285714285713,61.5,1,0
"BTP112 - 14th Cross, KR Road",1.4073502379790577,1.4658856434616414,12.92934653,77.57320882,Low,1.7510000000000001,30.8,1,0
"BTP113 - 27th Cross, Pai Vista, KR Road",1.551131479063146,1.7569263235103345,12.917530724324326,77.57309781441441,Low,1.4718018018018018,5.9,1,0
